ACCOUNTDATE,CNT
2018-12-17,1125
2018-12-18,881
2018-12-19,938
2018-12-20,876
2018-12-21,976
2018-12-22,680
2018-12-23,107
2018-12-24,1324
2018-12-25,155
2018-12-26,1135
2018-12-27,1063
2018-12-28,1037
2018-12-29,692
2018-12-30,98
2018-12-31,1338
