ACCOUNTDATE,CNT
2019-01-01,113
2019-01-02,797
2019-01-03,723
2019-01-04,801
2019-01-05,635
2019-01-06,85
2019-01-07,974
2019-01-08,757
2019-01-09,810
2019-01-10,743
2019-01-11,748
2019-01-12,540
2019-01-13,58
2019-01-14,949
2019-01-15,721
2019-01-16,692
2019-01-17,663
2019-01-18,758
2019-01-19,572
2019-01-20,56
2019-01-21,901
2019-01-22,715
2019-01-23,763
2019-01-24,669
2019-01-25,798
2019-01-26,566
2019-01-27,59
2019-01-28,947
2019-01-29,775
2019-01-30,796
2019-01-31,737
2019-02-01,886
2019-02-02,603
2019-02-03,71
2019-02-04,148
2019-02-05,121
2019-02-06,134
2019-02-07,1054
2019-02-08,912
2019-02-09,684
2019-02-10,66
2019-02-11,945
2019-02-12,809
2019-02-13,733
2019-02-14,721
2019-02-15,830
2019-02-16,620
2019-02-17,48
2019-02-18,898
2019-02-19,781
2019-02-20,814
2019-02-21,838
2019-02-22,865
2019-02-23,611
2019-02-24,68
2019-02-25,1012
2019-02-26,863
2019-02-27,876
2019-02-28,1008
2019-03-01,103
2019-03-02,734
2019-03-03,68
2019-03-04,1095
2019-03-05,992
2019-03-06,829
2019-03-07,851
2019-03-08,908
2019-03-09,699
2019-03-10,65
2019-03-11,1018
2019-03-12,940
2019-03-13,782
2019-03-14,772
2019-03-15,1015
2019-03-16,666
2019-03-17,55
2019-03-18,1120
2019-03-19,877
2019-03-20,835
2019-03-21,848
2019-03-22,951
2019-03-23,707
2019-03-24,60
2019-03-25,1039
2019-03-26,866
2019-03-27,916
2019-03-28,882
2019-03-29,823
2019-03-30,659
2019-03-31,53
2019-04-01,949
2019-04-02,916
2019-04-03,843
2019-04-04,875
2019-04-05,900
2019-04-06,644
2019-04-07,65
2019-04-08,989
2019-04-09,862
2019-04-10,950
2019-04-11,911
2019-04-12,822
2019-04-13,675
2019-04-14,89
2019-04-15,1162
2019-04-16,929
2019-04-17,914
2019-04-18,913
2019-04-19,1125
2019-04-20,692
2019-04-21,82
2019-04-22,1147
2019-04-23,1023
2019-04-24,1011
2019-04-25,899
2019-04-26,964
2019-04-27,611
2019-04-28,89
2019-04-29,1164
2019-04-30,954
2019-05-01,691
2019-05-02,1189
2019-05-03,1004
2019-05-04,722
2019-05-05,61
2019-05-06,681
2019-05-07,995
2019-05-08,1030
2019-05-09,986
2019-05-10,1423
2019-05-11,862
2019-05-12,67
2019-05-13,1070
2019-05-14,933
2019-05-15,927
2019-05-16,987
2019-05-17,1017
2019-05-18,911
2019-05-19,76
2019-05-20,1302
2019-05-21,1285
2019-05-22,996
2019-05-23,882
2019-05-24,1042
2019-05-25,782
2019-05-26,60
2019-05-27,1359
2019-05-28,1085
2019-05-29,972
2019-05-30,1000
2019-05-31,1034
2019-06-01,806
2019-06-02,60
2019-06-03,1133
2019-06-04,1021
2019-06-05,1002
2019-06-06,93
2019-06-07,1563
2019-06-08,762
2019-06-09,64
2019-06-10,1252
2019-06-11,1031
2019-06-12,1057
2019-06-13,1412
2019-06-14,893
2019-06-15,829
2019-06-16,90
2019-06-17,1168
2019-06-18,915
2019-06-19,802
2019-06-20,984
2019-06-21,945
2019-06-22,830
2019-06-23,76
2019-06-24,1101
2019-06-25,918
2019-06-26,901
2019-06-27,936
2019-06-28,1012
2019-06-29,742
2019-06-30,78
2019-07-01,1091
2019-07-02,908
2019-07-03,875
2019-07-04,870
2019-07-05,902
2019-07-06,696
2019-07-07,64
2019-07-08,1076
2019-07-09,831
2019-07-10,937
2019-07-11,934
2019-07-12,1236
2019-07-13,693
2019-07-14,78
2019-07-15,1057
2019-07-16,922
2019-07-17,904
2019-07-18,986
2019-07-19,863
2019-07-20,690
2019-07-21,74
2019-07-22,1023
2019-07-23,848
