ACCOUNTDATE,CNT
2019-07-24,836
2019-07-25,878
2019-07-26,880
2019-07-27,694
2019-07-28,65
2019-07-29,1100
2019-07-30,948
2019-07-31,835
2019-08-01,959
2019-08-02,965
2019-08-03,596
2019-08-04,73
2019-08-05,1074
2019-08-06,926
2019-08-07,944
2019-08-08,886
2019-08-09,997
2019-08-10,658
2019-08-11,78
2019-08-12,1079
2019-08-13,1003
2019-08-14,983
2019-08-15,103
2019-08-16,1197
2019-08-17,672
2019-08-18,92
2019-08-19,1099
2019-08-20,939
2019-08-21,951
2019-08-22,991
2019-08-23,1007
2019-08-24,721
2019-08-25,85
2019-08-26,1057
2019-08-27,934
2019-08-28,907
2019-08-29,894
2019-08-30,837
2019-08-31,713
2019-09-01,62
2019-09-02,1065
2019-09-03,892
2019-09-04,948
2019-09-05,729
2019-09-06,999
2019-09-07,690
2019-09-08,93
2019-09-09,1152
2019-09-10,1025
2019-09-11,968
2019-09-12,129
2019-09-13,130
2019-09-14,152
2019-09-15,77
2019-09-16,1392
2019-09-17,1090
2019-09-18,983
2019-09-19,980
2019-09-20,1084
2019-09-21,757
2019-09-22,77
2019-09-23,1192
2019-09-24,1032
2019-09-25,959
2019-09-26,999
2019-09-27,1031
2019-09-28,717
2019-09-29,78
2019-09-30,1189
2019-10-01,1086
2019-10-02,1009
2019-10-03,99
2019-10-04,1216
2019-10-05,675
2019-10-06,73
2019-10-07,1132
2019-10-08,1040
2019-10-09,113
2019-10-10,1131
2019-10-11,928
2019-10-12,722
2019-10-13,77
2019-10-14,1156
2019-10-15,1179
2019-10-16,1024
2019-10-17,1072
2019-10-18,1227
2019-10-19,859
2019-10-20,60
2019-10-21,1246
2019-10-22,1303
2019-10-23,1187
2019-10-24,1290
2019-10-25,1143
2019-10-26,887
2019-10-27,77
2019-10-28,1274
2019-10-29,1078
2019-10-30,1062
2019-10-31,1006
2019-11-01,1187
2019-11-02,869
2019-11-03,82
2019-11-04,1251
2019-11-05,1101
2019-11-06,1087
2019-11-07,995
2019-11-08,1136
2019-11-09,831
2019-11-10,83
2019-11-11,1215
2019-11-12,1030
2019-11-13,984
2019-11-14,916
2019-11-15,1141
2019-11-16,718
2019-11-17,69
2019-11-18,1269
2019-11-19,1129
2019-11-20,995
2019-11-21,1021
2019-11-22,1035
2019-11-23,779
2019-11-24,66
2019-11-25,1237
2019-11-26,1112
2019-11-27,1044
2019-11-28,1011
2019-11-29,1105
2019-11-30,769
2019-12-01,62
2019-12-02,1197
2019-12-03,1081
2019-12-04,1030
2019-12-05,913
2019-12-06,991
2019-12-07,782
2019-12-08,91
2019-12-09,1135
2019-12-10,1068
2019-12-11,1105
2019-12-12,1057
2019-12-13,1034
2019-12-14,772
2019-12-15,86
2019-12-16,1213
2019-12-17,1085
2019-12-18,1103
2019-12-19,1027
2019-12-20,1048
2019-12-21,796
2019-12-22,88
2019-12-23,1341
2019-12-24,1065
2019-12-25,149
2019-12-26,1227
2019-12-27,1181
2019-12-28,830
2019-12-29,103
2019-12-30,1482
2019-12-31,1163
