일시,평균기온
2021-07-19,26.4
2021-07-20,27.9
2021-07-21,30.5
2021-07-22,31.2
2021-07-23,31.2
2021-07-24,31.7
2021-07-25,31.5
2021-07-26,31.2
2021-07-27,31.1
2021-07-28,30.4
2021-07-29,29.6
2021-07-30,30.5
2021-07-31,29.8
2021-08-01,27.1
2021-08-02,26.5
2021-08-03,28
2021-08-04,28.9
2021-08-05,29.4
2021-08-06,28.1
2021-08-07,28
2021-08-08,26.8
2021-08-09,28.3
2021-08-10,27.7
2021-08-11,27.4
2021-08-12,26.8
2021-08-13,26.6
2021-08-14,26.1
2021-08-15,26.9
2021-08-16,27.3
2021-08-17,25.9
2021-08-18,24.3
2021-08-19,26
2021-08-20,26.6
2021-08-21,23.8
2021-08-22,24.4
2021-08-23,22.4
2021-08-24,23.4
2021-08-25,25
2021-08-26,25.5
2021-08-27,22.4
2021-08-28,23.6
2021-08-29,23.7
2021-08-30,24.2
2021-08-31,20.5
2021-09-01,21.4
2021-09-02,23.5
2021-09-03,24.3
2021-09-04,23.2
2021-09-05,23.1
2021-09-06,22.3
2021-09-07,19.6
2021-09-08,22.2
2021-09-09,23.5
2021-09-10,23.6
2021-09-11,24
2021-09-12,24.2
2021-09-13,24.8
2021-09-14,24.6
2021-09-15,23.6
2021-09-16,22.9
2021-09-17,23.5
2021-09-18,23.9
2021-09-19,23.7
2021-09-20,23.7
2021-09-21,22
2021-09-22,20.2
2021-09-23,20.9
2021-09-24,21.8
2021-09-25,21.2
2021-09-26,22.6
2021-09-27,21.6
2021-09-28,21.5
2021-09-29,20.2
2021-09-30,20.3
2021-10-01,21.1
2021-10-02,20.7
2021-10-03,22.3
2021-10-04,22.9
2021-10-05,23.6
2021-10-06,18.8
2021-10-07,19.4
2021-10-08,18.8
2021-10-09,20.9
2021-10-10,19.9
2021-10-11,15.2
2021-10-12,17.9
2021-10-13,19.6
