AGE,AMT1
29,83500
16,127900
54,78900
43,6400
5,9000
66,328900
21,31800
42,21900
64,95500
65,124500
63,35600
59,11100
55,1500
30,231400
30,109300
73,19300
51,78900
56,256400
31,75600
62,258500
13,256400
40,106400
40,-101800
40,101800
34,101800
43,101800
55,101800
47,101800
43,101800
9,39000
40,20100
76,14100
42,6400
47,101800
24,81300
53,14800
45,6400
78,125700
54,71800
36,22200
5,9800
66,78900
56,29000
48,101800
40,130500
63,1100
64,267600
48,267600
65,256400
3,20600
58,75600
51,8500
51,274600
67,71800
72,19200
36,21900
38,20100
34,279000
1,4600
34,24400
34,94400
34,-94400
5,19600
11,4500
56,8500
55,20100
25,17100
58,55400
58,122600
50,26400
44,279000
65,34600
43,6400
62,94850
70,29000
84,65800
52,29000
31,6400
62,13100
62,78900
47,71900
56,78900
55,12200
57,6400
58,6400
58,10000
36,71900
1,9000
18,110500
31,10300
44,115750
76,426300
76,25600
76,-25600
76,25600
54,158500
50,158500
36,98400
1,17900
34,14100
75,270800
44,80000
77,29000
42,32200
16,91800
16,3000
47,101800
50,79100
45,101800
52,91800
19,101800
27,74900
48,50900
48,17600
53,34900
46,16400
46,79900
49,7400
25,30000
60,9000
24,8000
39,78900
22,88400
72,107500
61,250000
61,6400
40,9400
29,28000
29,-28000
29,28000
32,21100
52,78900
46,250000
63,45700
69,6400
39,7500
49,18500
48,43900
57,276300
40,22900
47,20300
46,11900
36,94400
31,26100
38,11200
39,258500
55,101800
55,101800
57,101800
47,101800
44,20100
74,250000
32,14200
14,37100
42,27400
39,20500
31,335100
31,334100
31,-335100
31,1000
39,272900
44,82300
37,37800
10,37790
13,23300
29,17200
50,465100
50,101100
59,6400
53,6400
63,15200
12,20900
37,20100
12,46600
55,1500
55,-1500
55,1500
39,101800
33,13600
51,9300
73,110400
52,14300
58,71800
2,10600
74,273600
7,15700
52,13100
44,78900
76,103200
76,256400
44,29300
35,13000
35,256400
45,12600
51,6400
22,15300
24,6400
40,107500
34,16300
30,179000
30,12600
32,13400
32,265100
64,12600
42,6400
40,-8500
40,8500
53,75200
55,92100
55,-110100
55,110100
55,12700
77,85400
9,19800
10,6400
45,6400
59,28800
58,127900
5,30800
45,9800
47,79900
40,6400
62,54400
65,8500
74,28400
72,8500
60,49900
49,9800
40,78900
66,107500
43,37600
33,138200
53,86400
58,121500
58,100000
58,156400
60,6400
53,11000
16,20000
16,256400
13,53900
75,44400
46,9100
41,6400
72,6400
69,256400
69,63700
28,76400
1,13600
49,66400
48,96400
52,256400
43,64910
49,76400
49,69400
39,63000
56,137500
51,6400
36,13600
49,127900
31,17200
31,-38200
31,38200
47,37300
74,6400
45,6400
48,12600
22,63900
47,297800
1,7800
59,6400
38,106400
1,7800
41,13200
47,101800
32,101800
18,53300
55,101800
42,101800
48,91800
49,9500
38,6400
33,71800
65,101800
48,6400
37,14300
65,477900
5,9000
49,54900
49,256400
32,8500
70,26300
70,12700
37,161700
25,22300
25,264800
76,61300
39,6400
27,80400
27,-78300
27,78300
27,-71900
27,71900
24,10000
24,250700
32,19600
56,140000
45,10000
45,109100
62,13500
64,6400
44,6400
65,11500
65,-11500
41,22000
35,20100
27,38500
47,135000
47,256400
69,21900
44,278200
55,8500
49,24600
49,52500
31,12300
38,6400
44,267200
41,26400
79,6400
79,-6400
79,6400
32,10300
55,106400
9,6400
13,12200
24,11700
49,66300
75,168300
40,3000
40,9100
60,15700
55,78900
13,20500
13,12200
10,19400
54,65800
34,13600
42,15600
1,29000
41,78900
40,6400
51,6400
10,35200
35,15000
45,78900
18,6400
78,137000
37,21200
91,20100
49,6400
44,29000
55,21000
55,-21000
55,21000
2,9900
38,15600
63,105800
54,9100
41,187900
45,8000
33,157600
18,6400
32,87600
32,20000
37,8500
41,471900
46,11600
44,77300
50,100000
37,4500
68,26300
37,94200
58,101900
3,27200
38,20100
51,78900
21,6200
47,74300
54,14300
51,62600
26,456400
26,124100
34,68800
62,24400
58,127900
78,107700
13,61400
16,127900
44,76400
61,62600
47,300
47,459000
30,205750
48,6400
69,14100
55,77900
35,78900
48,267200
43,271200
24,8500
34,24000
1,11800
31,21900
33,29100
21,10200
59,-257200
59,257200
33,14200
38,6400
41,78900
60,124700
33,83400
53,21900
24,38700
48,38700
47,108900
21,8500
22,71800
11,4500
41,15300
55,60500
25,271900
45,290400
59,7100
39,55900
49,15300
64,8000
40,8500
47,107800
4,24600
52,8500
58,74300
45,90800
45,16400
62,30100
40,11000
50,16300
49,20200
41,35300
72,15300
66,72500
66,256400
49,6400
19,108400
19,1000
7,13100
52,60650
19,24200
42,8000
40,21900
7,94100
40,8500
8,8500
5,6200
76,270800
47,93200
51,13600
51,256400
49,20000
41,59200
9,3400
46,96700
56,271900
4,22400
46,10000
49,141400
59,12000
41,71900
42,76400
49,123000
47,83250
38,61400
48,36400
10,10300
39,277600
36,30400
51,272000
51,7000
36,70600
35,77800
43,274000
14,90400
14,-98400
14,98400
10,12300
45,47300
21,67500
51,36600
78,47100
6,61400
55,88400
4,50700
52,11800
61,8300
4,-182700
4,37600
4,182700
70,78900
33,9100
36,12700
61,109600
56,61300
13,7800
62,256400
39,89800
38,12600
38,101800
41,231400
41,6200
43,101800
52,6400
47,101800
60,6400
53,101900
53,256400
48,6400
53,6400
43,6400
63,90500
60,6400
44,123800
34,225000
73,20000
32,8500
61,42900
18,6400
12,-124700
12,124700
35,201800
37,270800
34,49200
41,75200
61,217200
45,6000
49,95800
76,14500
49,20100
36,20200
42,10190
37,20000
35,127900
40,113900
53,26800
41,16300
16,6400
25,6400
53,22000
61,34800
42,25200
62,26600
41,6400
51,17500
55,6400
39,65800
40,6400
39,6400
29,6400
51,39400
16,-15000
16,96400
3,26800
60,109100
45,274900
12,300800
51,6400
51,-6400
51,258500
51,-258500
58,94400
10,10300
44,50500
36,29800
45,12600
13,17400
53,13800
60,19300
43,78900
40,78900
14,76400
38,6400
58,78900
38,72500
29,82400
35,108700
13,39400
37,10200
55,78900
38,265100
33,26400
39,10200
49,62600
37,101800
45,106000
62,97000
62,258500
32,270800
62,14300
78,6400
1,7800
55,101800
40,106400
57,91800
74,40000
57,101800
63,51800
55,101800
63,53800
59,101800
60,71800
35,104500
45,163400
45,272000
37,6400
37,-13600
37,13600
57,14100
35,29900
60,800
60,6400
53,112900
43,7200
68,101100
32,232500
32,50250
8,16400
41,9100
61,256400
61,-506400
61,506400
22,4000
22,12500
41,96400
59,6400
41,256400
27,6400
74,496400
45,9800
44,67900
39,6400
60,17800
44,20300
50,256400
7,8500
72,6400
47,65800
75,19300
49,26400
50,81000
41,12200
37,78900
17,13300
17,-36300
17,36300
42,6400
54,540800
56,12300
36,24300
45,35200
45,100000
16,127900
42,26400
37,20000
32,20000
45,20000
1,8600
15,11300
2,27200
18,127900
42,6400
40,256400
18,-15000
18,22000
18,6400
35,14800
36,78900
56,6400
56,135000
56,-140000
62,6400
49,9000
47,11200
0,14400
1,6200
74,277400
41,99300
59,13200
40,157500
38,6400
74,14700
46,118900
51,38700
35,107500
13,41300
9,9400
43,19800
41,8000
7,85200
4,4600
37,205400
58,74300
59,30800
4,17900
26,101600
45,60600
31,67500
31,6000
27,124700
24,8000
10,6400
8,14100
30,8000
33,96200
49,86300
7,8500
39,27400
