¿œ¿⁄,ºÆ≈∫
2018-10-21,95607
2018-10-22,91597
2018-10-23,100468
2018-10-24,107326
2018-10-25,107267
2018-10-26,107366
2018-10-27,107154
2018-10-28,104665
2018-10-29,105807
2018-10-30,110353
2018-10-31,116843
2018-11-01,116545
2018-11-02,119373
2018-11-03,109828
2018-11-04,106944
2018-11-05,119317
2018-11-06,116134
2018-11-07,122055
2018-11-08,122980
2018-11-09,123236
2018-11-10,119041
2018-11-11,117321
2018-11-12,120548
2018-11-13,123593
2018-11-14,123954
2018-11-15,123635
2018-11-16,123413
2018-11-17,121368
2018-11-18,116946
2018-11-19,121325
2018-11-20,124478
2018-11-21,124854
2018-11-22,120510
2018-11-23,121230
2018-11-24,113705
2018-11-25,111933
2018-11-26,118811
2018-11-27,120622
2018-11-28,117884
2018-11-29,120823
2018-11-30,123673
2018-12-01,118694
2018-12-02,114210
2018-12-03,120091
2018-12-04,122230
2018-12-05,123813
2018-12-06,121740
2018-12-07,123006
2018-12-08,123636
2018-12-09,119241
2018-12-10,122459
2018-12-11,124062
2018-12-12,126265
2018-12-13,125885
2018-12-14,123725
2018-12-15,121638
2018-12-16,120030
2018-12-17,122015
2018-12-18,125223
2018-12-19,124798
2018-12-20,131907
2018-12-21,133137
2018-12-22,125194
2018-12-23,120881
2018-12-24,128853
2018-12-25,125826
2018-12-26,131833
2018-12-27,136641
2018-12-28,137347
2018-12-29,129955
2018-12-30,123297
2018-12-31,130965
2019-01-01,121469
2019-01-02,131874
2019-01-03,136484
2019-01-04,136358
2019-01-05,130972
2019-01-06,124165
2019-01-07,133605
2019-01-08,135600
2019-01-09,136948
2019-01-10,136796
2019-01-11,129859
2019-01-12,127919
2019-01-13,124933
2019-01-14,131236
2019-01-15,132484
2019-01-16,136431
2019-01-17,136655
2019-01-18,136582
2019-01-19,127664
2019-01-20,123920
2019-01-21,133199
2019-01-22,135585
2019-01-23,134517
2019-01-24,135639
2019-01-25,135673
2019-01-26,132480
2019-01-27,126035
2019-01-28,133872
2019-01-29,135926
2019-01-30,135024
2019-01-31,135198
2019-02-01,128225
2019-02-02,125667
2019-02-03,113876
2019-02-04,108052
2019-02-05,97836
2019-02-06,104853
2019-02-07,116230
2019-02-08,131142
2019-02-09,126515
2019-02-10,121674
2019-02-11,129894
2019-02-12,130794
2019-02-13,135755
2019-02-14,135668
2019-02-15,134187
2019-02-16,127241
2019-02-17,120576
2019-02-18,124970
2019-02-19,128795
2019-02-20,129122
2019-02-21,128796
2019-02-22,125017
2019-02-23,120258
2019-02-24,114546
2019-02-25,122858
2019-02-26,127492
2019-02-27,129031
2019-02-28,128690
2019-03-01,116257
2019-03-02,113403
2019-03-03,109595
2019-03-04,94357
2019-03-05,94428
2019-03-06,95059
2019-03-07,90432
2019-03-08,97244
2019-03-09,105492
2019-03-10,106843
2019-03-11,107596
2019-03-12,108018
2019-03-13,110352
2019-03-14,120499
2019-03-15,119439
2019-03-16,114462
2019-03-17,108920
2019-03-18,117477
2019-03-19,118215
2019-03-20,116410
2019-03-21,117796
2019-03-22,117438
2019-03-23,110441
2019-03-24,104417
2019-03-25,110429
2019-03-26,112105
2019-03-27,111337
2019-03-28,112669
2019-03-29,112304
2019-03-30,105827
2019-03-31,101938
2019-04-01,110128
2019-04-02,112906
2019-04-03,112905
2019-04-04,111641
2019-04-05,113962
2019-04-06,112337
2019-04-07,105715
2019-04-08,114566
2019-04-09,118845
2019-04-10,118961
2019-04-11,114655
2019-04-12,112823
2019-04-13,105792
2019-04-14,102384
2019-04-15,109713
2019-04-16,112619
2019-04-17,104124
2019-04-18,105280
2019-04-19,104378
2019-04-20,94457
2019-04-21,92846
2019-04-22,106417
2019-04-23,111519
2019-04-24,112454
2019-04-25,110954
2019-04-26,109666
2019-04-27,104536
2019-04-28,102101
2019-04-29,112838
2019-04-30,119757
2019-05-01,113547
2019-05-02,115637
2019-05-03,117582
2019-05-04,111499
2019-05-05,102527
2019-05-06,108364
2019-05-07,114477
2019-05-08,116269
2019-05-09,116786
2019-05-10,112120
2019-05-11,104013
2019-05-12,100501
2019-05-13,107862
2019-05-14,112757
2019-05-15,115075
2019-05-16,115628
2019-05-17,115212
2019-05-18,106216
2019-05-19,104653
2019-05-20,107282
2019-05-21,113661
2019-05-22,113525
2019-05-23,113343
2019-05-24,114170
2019-05-25,109509
2019-05-26,106216
2019-05-27,111529
2019-05-28,115095
2019-05-29,114651
2019-05-30,115947
2019-05-31,115354
2019-06-01,98717
2019-06-02,91648
2019-06-03,110969
2019-06-04,116750
2019-06-05,120522
2019-06-06,117134
2019-06-07,115796
2019-06-08,89741
2019-06-09,71231
2019-06-10,91998
2019-06-11,104781
2019-06-12,114743
2019-06-13,120710
2019-06-14,120863
2019-06-15,112692
2019-06-16,98098
2019-06-17,115748
2019-06-18,121732
2019-06-19,121546
2019-06-20,120383
2019-06-21,117316
2019-06-22,109262
2019-06-23,103650
2019-06-24,115255
2019-06-25,121338
2019-06-26,122085
2019-06-27,123379
2019-06-28,121794
2019-06-29,117014
2019-06-30,111276
2019-07-01,120264
2019-07-02,121930
2019-07-03,122965
2019-07-04,125316
2019-07-05,125980
2019-07-06,113779
2019-07-07,108632
2019-07-08,118382
2019-07-09,124217
2019-07-10,126079
2019-07-11,127005
2019-07-12,126110
2019-07-13,117645
2019-07-14,112936
2019-07-15,123139
2019-07-16,127159
2019-07-17,128015
2019-07-18,129967
2019-07-19,128490
2019-07-20,124806
2019-07-21,116054
2019-07-22,125720
2019-07-23,130891
2019-07-24,131497
2019-07-25,131741
2019-07-26,129526
2019-07-27,125362
2019-07-28,119067
2019-07-29,122790
2019-07-30,129435
2019-07-31,129725
2019-08-01,128717
2019-08-02,127716
2019-08-03,124408
2019-08-04,122445
2019-08-05,129004
2019-08-06,130098
2019-08-07,131304
2019-08-08,131583
2019-08-09,132284
2019-08-10,127415
2019-08-11,122518
2019-08-12,130669
2019-08-13,134445
2019-08-14,134190
2019-08-15,131090
2019-08-16,128428
2019-08-17,113744
2019-08-18,105068
2019-08-19,122335
2019-08-20,128544
2019-08-21,130673
2019-08-22,130817
2019-08-23,129066
2019-08-24,121255
2019-08-25,114878
2019-08-26,125692
2019-08-27,128889
2019-08-28,129653
2019-08-29,130356
2019-08-30,124339
2019-08-31,116487
2019-09-01,111225
2019-09-02,124423
2019-09-03,127429
2019-09-04,127887
2019-09-05,129997
2019-09-06,130847
2019-09-07,121592
2019-09-08,108292
2019-09-09,115414
2019-09-10,120503
2019-09-11,115990
2019-09-12,95703
2019-09-13,84149
2019-09-14,87243
2019-09-15,86956
2019-09-16,103175
2019-09-17,107521
2019-09-18,107325
2019-09-19,106835
2019-09-20,105879
2019-09-21,101260
2019-09-22,97558
2019-09-23,103095
2019-09-24,106682
2019-09-25,106809
2019-09-26,108855
2019-09-27,107823
2019-09-28,100130
2019-09-29,95125
2019-09-30,103594
2019-10-01,107708
2019-10-02,109227
2019-10-03,105555
2019-10-04,106038
2019-10-05,100258
2019-10-06,92016
2019-10-07,103688
2019-10-08,104752
2019-10-09,99907
2019-10-10,98552
2019-10-11,99719
2019-10-12,92346
2019-10-13,86768
2019-10-14,91071
2019-10-15,96941
2019-10-16,95740
2019-10-17,98649
2019-10-18,99030
2019-10-19,90678
2019-10-20,87327
2019-10-21,98505
2019-10-22,103267
2019-10-23,105525
2019-10-24,106183
2019-10-25,101261
2019-10-26,97145
2019-10-27,93327
2019-10-28,104001
2019-10-29,105334
2019-10-30,103159
2019-10-31,104923
2019-11-01,103058
2019-11-02,96407
2019-11-03,92133
2019-11-04,102664
2019-11-05,105642
2019-11-06,106019
2019-11-07,109584
2019-11-08,110619
2019-11-09,102344
2019-11-10,96706
2019-11-11,105827
2019-11-12,111333
2019-11-13,112246
2019-11-14,97559
2019-11-15,95077
2019-11-16,96161
2019-11-17,92861
2019-11-18,97693
2019-11-19,94698
2019-11-20,96810
2019-11-21,96177
2019-11-22,95160
2019-11-23,96354
2019-11-24,92651
2019-11-25,103110
2019-11-26,109674
2019-11-27,105789
2019-11-28,108742
2019-11-29,108048
2019-11-30,101880
2019-12-01,95968
2019-12-02,98140
2019-12-03,98435
2019-12-04,98627
2019-12-05,98400
2019-12-06,105390
2019-12-07,101484
2019-12-08,101713
2019-12-09,103075
2019-12-10,102687
2019-12-11,102575
2019-12-12,104079
2019-12-13,106791
2019-12-14,102952
2019-12-15,100219
2019-12-16,100649
2019-12-17,104077
2019-12-18,107285
2019-12-19,108926
2019-12-20,112883
2019-12-21,109090
2019-12-22,110541
2019-12-23,111389
2019-12-24,111916
2019-12-25,112526
2019-12-26,112268
2019-12-27,111464
2019-12-28,111381
2019-12-29,111530
2019-12-30,110114
2019-12-31,111492
